stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4.09,8.17,0,24.52,0,0,0,0,0,0,4.09,0,0,0,0,4.09,0,20.43,20.43,0,0,0,20.43,44.95,0,0,0,0,0,0,0,0,0
72hpf,0,1.07,0,7.49,10.7,0,0,0,0,0,0,0,0,1.07,0,2.14,16.05,0,13.91,0,0,0,12.84,9.63,0,2.14,1.07,0,5.35,6.42,0,0,0
21Day,6.69,2.68,0,25.43,14.72,0,1.34,0,1.34,0,0,0,2.68,9.37,0,0,32.12,9.37,14.72,0,2.68,0,4.02,0,0,1.34,4.02,0,0,0,0,0,6.69
3Month,0,2.56,0,24.96,0,0.64,0.64,14.4,23.68,0,0,5.44,28.16,0.32,1.6,0.96,9.28,6.08,4.48,1.28,2.24,0.96,0,0.32,0.96,0.32,0.32,3.2,0,0.32,4.8,31.04,8.96
22Month,0,3.28,0.55,9.29,0,1.09,0,3.83,42.09,1.64,0,6.56,7.11,1.64,0,0,1.64,10.93,7.65,0,0.55,0,0.55,0,2.73,0.55,0,0.55,1.09,0,0.55,0,7.11
