stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,4.09,4.09,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,24.52,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,2.14,0,21.4,0,0,0,0,0,0,0,0,0,0,2.14,1.07,0,3.21,0,0,0,25.67,8.56,0,0,2.14,0,0,0,0,0,0,0
21Day,2.68,0,6.69,0,28.11,0,0,0,0,0,0,0,0,1.34,1.34,0,0,1.34,1.34,0,1.34,0,14.72,6.69,0,0,1.34,1.34,0,0,2.68,0,0,0
3Month,0,0,10.24,0.64,0,0.32,0.96,0.32,2.56,2.56,0,27.52,0.32,0,3.2,0.32,2.24,3.52,3.2,0.32,1.6,0,41.91,0.64,1.6,0,0,0.96,8,0,0,0.32,8.32,0.64
22Month,0,0.55,4.92,0,0,1.64,0,0,2.19,3.28,0.55,33.35,0,0.55,5.47,0,1.09,1.64,2.19,0,2.19,0.55,10.93,0.55,1.09,1.09,0,0,3.28,0.55,0,0,0,1.64
