stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,6.42,0,0,2.14,0,39.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.21,3.21,0,0,0,3.21,0,0,0,2.14,2.14,0,0,0,0
21Day,0,0,0,5.35,0,29.45,0,0,0,0,0,0,1.34,0,1.34,0,0,4.02,0,0,0,0,0,2.68,0,0,0,0,1.34,0,1.34,5.35,24.09,0,0,0,0
3Month,0.96,1.6,0.64,26.88,0.64,0,2.56,5.44,11.84,0,73.91,9.92,0.64,16,1.92,3.52,5.76,5.12,0.96,0.96,12.16,2.24,0.32,1.28,0.96,0.96,0,0,4.48,41.91,0,0.32,0,0.32,1.92,1137.42,4.48
22Month,0.55,6.56,1.09,7.11,0,0,1.64,2.73,9.29,2.19,123,2.19,1.64,17.49,0.55,0.55,13.12,7.11,0.55,6.01,1.09,0.55,0.55,0,2.19,0.55,1.64,1.09,1.09,13.67,0.55,7.11,0,0,1.09,3.28,3.28
