stage,Epithelial_cell,Granulocyte,Immune_progenitor_cell,Macrophage,Mesenchymal_cell,Neural_cell,Oligodendrocyte,Pancreatic_cell
72hpf,0,0,0,0,0,1.07,0,0
21Day,0,0,0,0,0,0,0,2.68
22Month,0.55,0.55,0.55,5.47,0.55,0,0.55,0
