stage,Cardiomyocyte,Endothelial_cell,Erythrocyte,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_progenitor_cell,Radial_glia
24hpf,0,4.09,0,0,0,0,4.09,20.43,0
72hpf,1.07,0,0,0,0,0,0,2.14,1.07
21Day,0,0,1.34,1.34,1.34,1.34,1.34,0,0
