stage,Endothelial_cell,Epithelial_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Macrophage,Muscle_cell,Neural_cell,Osteoblast,Primordial_germ_cell,T_cell
3Month,0.32,0.32,3.52,0.32,0,0.32,0.32,0,0,0.32,0
22Month,0,1.09,9.84,0,1.64,1.64,0,0.55,0.55,2.19,1.09
