stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4.09,0,0,12.26,0,0,0,0,0,0,0,0,0,4.09,0,4.09,0,0,0,0,0,0,32.69,4.09,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,3.21,1.07,0,1.07,58.84,0,0,0,0,0,0,0,0,2.14,21.4,0,2.14,0,0,0,0,10.7,6.42,4.28,0,0,1.07,0,0,0,0,0,0,0,0,0
21Day,12.05,0,0,5.35,87,0,0,0,0,0,0,1.34,0,0,16.06,0,0,0,0,0,0,4.02,2.68,0,0,0,2.68,1.34,0,1.34,2.68,0,1.34,0,0,0
3Month,0,0.32,0.64,3.84,14.08,0,0.32,0.64,0,11.2,1.92,0,2.24,0.64,1.28,1.28,2.56,0.32,0,0.32,0.64,0,0.32,1.28,0,0,0,0.32,0,2.24,0,0,0,0,2.24,0.64
22Month,0,1.64,0.55,4.37,12.03,1.64,0,4.92,2.19,61.77,1.09,2.19,6.56,0,1.09,6.56,5.47,0,1.09,0,0,0.55,0.55,2.19,1.09,0.55,1.64,1.09,0.55,2.73,0,0.55,0,0.55,0,2.73
