stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,16.35,4.09,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,40.86,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,7.49,0,0,0,0,0,0,0,0,0,0,0,1.07,7.49,1.07,5.35,0,1.07,0,0,37.44,5.35,0,0,0,6.42,0,0,12.84,2.14,0,0,0
21Day,4.02,0,18.74,0,1.34,0,4.02,0,1.34,0,0,4.02,25.43,0,0,4.02,12.05,6.69,0,0,1.34,4.02,18.74,1.34,0,0,0,8.03,5.35,0,29.45,25.43,0,0,4.02
3Month,0.32,0.32,11.2,0,0,0.32,1.28,0.96,2.88,0,27.2,10.88,1.92,2.56,1.6,1.28,20.8,3.84,1.28,0,0,11.52,0.32,0,0.96,0.32,0,0,0.32,1.92,0.96,0,0.32,0.32,6.72
22Month,1.09,1.64,19.13,0,0,0,0,0.55,3.28,33.35,190.78,11.48,4.92,2.73,0.55,0.55,16.4,11.48,0,2.19,0,0,0.55,0.55,0,0,0.55,0,1.09,2.73,3.83,0,0,0,2.73
