stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89.9,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,1.07,0,0,2.14,10.7,1.07,0,0,0,0,0,0,0,0,0,1.07,1.07,0,0,0,74.89,18.19,0,0,0,0,0,7.49,26.74,26.74,1.07,0,0,0
21Day,1.34,0,0,2.68,12.05,0,0,0,0,0,0,2.68,0,0,1.34,1.34,0,0,0,1.34,33.46,5.35,0,0,0,1.34,2.68,0,28.11,129.84,0,0,0,0
3Month,0.32,0.64,1.28,31.04,4.8,0,1.92,1.92,0,15.68,3.2,0.32,1.92,1.28,1.92,2.24,0.64,0.64,0.96,1.6,25.28,0.64,1.28,0.32,0,1.28,31.67,0.64,0,0.32,0,1.28,666.13,1.6
22Month,0,0.55,0.55,10.93,1.64,0,0,1.09,0.55,19.13,0,0,4.37,0,0,0.55,1.09,0,0,0,6.56,0,1.09,0,0.55,0,14.76,0,0.55,0,0.55,0,3.83,0.55
