stage,Cardiomyocyte,Epithelial_cell,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Primordial_germ_cell,Spermatocyte,T_cell
24hpf,4.09,0,0,0,0,0,0,0,24.52,0,0,0,0
72hpf,0,0,0,0,0,0,1.07,0,0,0,0,0,0
21Day,0,0,0,2.68,0,2.68,1.34,1.34,0,0,0,0,0
3Month,0,0.32,0.64,0,0.32,1.28,0,0,0,0.32,1.92,0.64,0.64
22Month,0,0,4.92,0,0,0,0,0,0,0,2.19,0,0
