stage,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,12.26,0,0,0,0,4.09,8.17,0,0,0,0,0,0,4.09,8.17,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,2.14,0,0,0,0,0,0,0,0,0,0,5.35,0,0,0,1.07,0,0,7.49,0,0,0,0,0,0,0,0,0,0,0
21Day,0,0,1.34,1.34,0,0,0,0,0,0,0,0,0,0,0,1.34,0,0,0,0,1.34,1.34,0,0,1.34,0,0,1.34,0,0,0,0
3Month,0.32,1.6,4.16,0,0,0.96,1.6,0,223.96,0.64,0,4.48,1.28,1.28,0.96,0.96,0.32,0.64,0,2.24,0,0,0.32,0.64,0.32,3.52,21.44,0.64,0.32,0.32,4.48,0.64
22Month,0,0,2.73,0,1.09,0,0,0,91.29,0.55,1.09,2.73,0,0,0.55,0.55,0,7.65,0.55,0,0,0,0,0,0,0.55,10.39,0.55,0,0,0,0
