stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,T_cell
24hpf,0,4.09,16.35,0,0,0,0,0,0,0,0,16.35,0,0,0,20.43,8.17,0,0,0,0,0
72hpf,1.07,1.07,7.49,0,0,0,4.28,0,0,11.77,1.07,2.14,0,1.07,5.35,3.21,10.7,0,1.07,4.28,0,0
21Day,0,0,6.69,0,0,0,8.03,0,0,2.68,1.34,9.37,0,0,2.68,0,1.34,0,1.34,8.03,0,1.34
3Month,0,0,9.92,0.32,4.16,0.32,0.64,0,0.32,5.76,0.64,2.24,1.28,0,0,0,0,1.28,0.32,0,0.32,4.48
22Month,0,2.19,1.09,0.55,3.28,0,0.55,0.55,0,2.19,0,0.55,0,0,0,0,0.55,0,0,0,0,1.09
