stage,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythroid_progenitor_cell,Fibroblast,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte
24hpf,24.52,0,28.6,0,0,0,0,0,0,0,0,8.17,4.09,12.26,0,0,0,0,73.56,0,0,0,0,4.09,0,0
72hpf,0,0,3.21,1.07,0,0,0,0,0,0,1.07,2.14,0,1.07,1.07,0,0,4.28,1.07,2.14,0,1.07,1.07,3.21,0,0
21Day,0,0,1.34,0,0,0,0,0,0,0,0,0,1.34,0,0,2.68,0,14.72,0,0,0,0,0,0,0,0
3Month,0,0.32,1.92,0,0,0.32,0.64,3.2,0.32,0.96,0,0.32,0.32,0.32,0,0.96,0.64,0.32,0.96,0,14.08,0,0,0,13.12,1.28
22Month,1.09,0,1.09,0,0.55,0,2.19,4.37,0,1.64,0,1.09,2.73,0,0,1.64,0,0,0,0,9.29,1.09,0,0,2.19,0
