stage,Granulocyte,Hepatocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell
24hpf,0,0,0,0,8.17
72hpf,0,0,0,4.28,0
22Month,0.55,0.55,0.55,0,0
