stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_cell,T_cell
24hpf,4.09,0,0,28.6,0,0,0,0,0,8.17,0,0,0,0,0,44.95,12.26,61.3,0,0,0,12.26,175.72,0,0,0,0,0,0,0,0
72hpf,1.07,0,0,1.07,0,0,0,0,0,0,0,0,0,0,0,21.4,0,1.07,0,0,0,4.28,8.56,0,0,0,1.07,0,0,0,0
21Day,0,0,0,0,0,0,0,0,0,0,0,0,2.68,0,0,0,0,1.34,0,0,0,2.68,1.34,0,0,0,2.68,1.34,0,0,0
3Month,0,0,0,0.32,0,0,0.32,0,0,0,0.32,0.32,0,0,0,0.32,0.32,0,0,0,0,0,0,0,0,0,0,3.2,0.32,0,0
22Month,0.55,12.03,2.73,12.03,1.09,0.55,3.28,27.33,10.39,0,85.82,5.47,2.73,10.39,0.55,2.19,11.48,10.39,7.11,2.73,0.55,0.55,0,1.64,0.55,1655.27,0,3.83,1.64,3.28,2.73
