stage,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Goblet_cell,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
72hpf,0,0,0,0,0,0,0,0,0,0,2.14,0,0,0,0,5.35,1.07,0,0,0,0,0,0,0,0,0
21Day,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.05,0,0,0,0,0,0,0,0,0,0
3Month,0,0,1.6,0.32,0.32,0,0.64,0,1.6,0.64,0.64,0.64,1.28,0,0.64,1.28,0,0.32,0.32,0.32,2.56,0.64,0,0.32,0.96,0
22Month,1.09,1.09,8.2,0,2.73,0.55,6.56,1.09,32.8,0.55,0.55,0.55,1.64,0.55,4.92,0.55,0,0.55,0,0.55,0.55,0.55,0.55,0,0,0.55
