stage,Epithelial_cell,Goblet_cell,Hepatocyte,Keratinocyte,Macrophage,Muscle_cell,Nephron_cell,Neurosecretory_cell,Primordial_germ_cell
21Day,1.34,0,0,2.68,8.03,4.02,0,0,0
3Month,3.2,0.32,0.32,0.64,15.68,3.52,0.32,0.32,0.64
22Month,1.64,0,0,0,0,2.19,0,0,0
