stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,16.35,0,0,0,0,0,0,0,0,0,0
72hpf,4.28,2.14,0,10.7,3.21,1.07,0,0,0,0,0,0,0,3.21,4.28,1.07,3.21,0,0,0,181.86,8.56,1.07,0,0,8.56,0,1.07,8.56,0,0,0
21Day,2.68,0,1.34,25.43,2.68,0,8.03,1.34,0,0,1.34,0,0,6.69,2.68,1.34,6.69,0,0,0,24.09,0,10.71,0,0,0,2.68,0,0,0,0,0
3Month,0.32,3.2,0.32,30.72,0,0,54.39,0.96,0,0,2.88,1.6,3.52,12.8,0.32,1.92,1.92,0.96,6.4,1.28,10.56,0.64,7.68,1.28,0,0,0.96,7.04,0.32,0.64,69.75,0.96
22Month,0,5.47,4.37,33.35,0,0.55,92.93,2.73,1.09,0,28.97,0.55,18.04,1.64,0.55,5.47,1.64,0,18.04,0.55,4.92,0,13.12,1.09,0.55,0,0,10.39,0,0,0.55,2.19
