stage,Cardiomyocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Primordial_germ_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,4.09,0,0,0,0,20.43,0,0,0,0,0,0,0,0
72hpf,5.35,9.63,0,0,0,0,0,0,0,0,0,1.07,3.21,7.49,1.07,0,0,0,2.14,35.3,0,0,0,0,0,0,0,0
21Day,1.34,1.34,13.39,0,1.34,0,0,2.68,0,1.34,0,0,2.68,0,6.69,0,0,0,1.34,1.34,0,1.34,1.34,1.34,4.02,0,0,0
3Month,0,25.92,8.32,0.32,0.64,0.32,0.32,4.16,0.96,0,0,0,0,0,1.92,0.32,0.32,0.32,0,0.32,0.32,0.96,20.8,0,6.08,0.64,1.6,0.32
22Month,0,1.64,0,0.55,0,0,0.55,3.83,0,0,1.09,0,0,0,0,0,0,0,0,0,0,0,9.84,0,1.09,0,0,0
