stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte
24hpf,4.09,0,0,0,0,0,0,0,0,0,0,8.17,8.17,4.09,0,0,0,40.86,0,0,0,0,0,0,0,4.09,0,0
72hpf,0,0,0,4.28,0,0,0,0,0,0,1.07,7.49,1.07,4.28,0,0,6.42,1.07,0,0,0,3.21,0,0,0,0,0,0
21Day,0,0,0,1.34,0,0,0,0,0,0,0,0,0,1.34,0,0,0,0,0,0,0,0,0,1.34,0,0,0,0
3Month,0,0.32,0.32,2.56,0.32,0.32,0,4.8,0.96,2.24,0,5.12,1.92,1.6,0.96,0.64,0,0,0,0.32,0,0,0.64,55.35,0.64,0,0.64,14.72
22Month,0,0,0,0,0,0,0.55,10.93,0,3.28,0,1.09,0,1.64,0,0,0,0,1.09,0,0.55,0,0,54.12,0,0,0,0
