stage,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,2.14,0,0,0,0,0,0,0,0,0,0,0
21Day,0,1.34,1.34,1.34,4.02,0,0,0,6.69,0,0,0,9.37,0,0,1.34,1.34,0,0,0,0,0,0,5.35
3Month,0,0,0,0,32.63,0.32,1.92,30.08,0.64,0.32,0.32,0,9.6,0.96,0.32,0,0,0.64,0.32,0.32,0.32,0.96,0.64,8
22Month,0.55,0.55,0,0.55,30.61,0,1.64,13.67,0.55,1.09,0,0.55,9.29,0.55,0,0,0,0,0,0,0,0,0,1.64
