stage,Epithelial_cell,Erythrocyte,Goblet_cell,Granulocyte,Hepatocyte,Immune_progenitor_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Osteoblast
24hpf,4.09,0,0,0,0,0,0,0,0,0,0,4.09
72hpf,0,1.07,0,0,0,0,0,1.07,0,1.07,2.14,0
21Day,1.34,1.34,0,0,0,1.34,0,0,0,0,0,2.68
3Month,0.32,0,0.32,0.32,0,0,0.64,0.32,0.64,0,0,0
22Month,0,0,0,2.19,1.09,0,0,0,0,0,0.55,0
