stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Spermatocyte,T_cell
24hpf,0,4.09,4.09,0,0,0,0,0,0,0,4.09,0,4.09,0,0,0,4.09,0,0,0,0,0,0,0,0,0
72hpf,3.21,0,0,0,0,0,0,0,0,1.07,1.07,0,5.35,0,2.14,6.42,1.07,0,0,0,5.35,0,0,0,0,0
21Day,1.34,0,5.35,1.34,0,0,0,0,0,0,2.68,0,2.68,0,5.35,9.37,0,0,0,0,1.34,0,0,0,0,0
3Month,0.64,0.32,10.88,0.32,0.32,0.96,0.32,0,3.84,0,0.96,0.32,2.88,0.64,5.76,0,0,0,0.32,0,0.64,0.64,1.92,0.32,0.64,0.32
22Month,0.55,3.28,16.95,0,0,0.55,2.73,2.19,17.49,0,0,0,3.83,0.55,4.37,0.55,0,0.55,0,0.55,0,0,1.09,0.55,0,0
