stage,Cardiomyocyte,Epithelial_cell,Epithelial_cell__Brain_,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,8.17,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,8.17,0,0,0,0,0,0,0,0,0,0,0
72hpf,2.14,4.28,2.14,0,0,0,0,0,0,0,0,9.63,0,0,0,0,1.07,4.28,0,0,3.21,0,0,7.49,0,0,0,0,0
21Day,6.69,0,0,0,0,0,0,0,0,0,0,26.77,0,0,0,0,0,0,0,0,8.03,2.68,0,1.34,1.34,0,0,0,0
3Month,0,5.76,0.32,5.12,0,2.56,0.32,0.64,0.32,11.84,0.64,14.4,15.68,0,0.64,0.96,0,0.32,0.32,0.32,0.64,0,4.48,0.32,0,0.32,0.32,0.32,0.96
22Month,0,2.73,0,1.09,1.64,6.56,0,0.55,0,3.83,0,3.83,0,1.09,0,0,0,0.55,0,0.55,0,0,0.55,0,0,0.55,0,0,0
