stage,Cardiomyocyte,Epithelial_cell,Goblet_cell,Immune_progenitor_cell,Ionocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,Radial_glia,T_cell
24hpf,4.09,0,0,0,0,4.09,0,69.47,4.09,0,0,0
72hpf,0,1.07,0,0,1.07,0,2.14,2.14,0,0,0,0
21Day,1.34,0,0,1.34,0,2.68,2.68,0,0,0,2.68,1.34
3Month,0,0,0.32,0,0,0,0,0,0,0.64,0,0
