stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,8.17,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,19.26,0,0,2.14,0,0,0,0,0
21Day,1.34,0,2.68,1.34,0,0,0,0,0,2.68,1.34,0,12.05,0,9.37,0,0,0,1.34,0,0
3Month,0,0,0.96,0,0,1.28,0.32,1.92,0.32,1.6,0.32,0,0,0,2.56,0,0.32,1.28,0,1.92,0.96
22Month,0,1.09,0.55,0,0.55,3.83,0.55,0.55,0.55,0.55,0.55,0.55,0,0.55,2.19,0,0,0.55,0,0.55,0.55
