stage,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,2.14,0,0,0,0,0,0,0,0,0,1.07,0,0,7.49,0,0,0,9.63,1.07,1.07,3.21,0,1.07,0,0,0,0
21Day,0,8.03,1.34,0,0,0,0,0,0,0,0,0,2.68,0,2.68,0,0,1.34,4.02,0,1.34,2.68,0,0,1.34,0,0,0
3Month,0.32,14.72,0,0.96,0.64,0,0,2.24,0,0.32,2.56,0.64,0.96,1.92,0.64,0.32,0,0,0.32,0,4.16,0,0.96,0,0,1.28,0.32,0.96
22Month,0,7.11,0,2.19,1.09,1.09,0.55,8.2,0.55,0.55,1.64,0.55,1.64,0.55,3.28,0,0.55,0.55,0,0,1.64,0,0,0,0,0,0,0
