stage,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,8.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,1.07,0,0,0,0,0,0,0,0,0,0,0,2.14,0,0,0,1.07,1.07,0,0,0,0,0,0,0,0,0,0,0
21Day,0,2.68,0,0,0,1.34,0,0,0,0,5.35,0,0,0,0,1.34,0,0,0,2.68,0,0,0,4.02,1.34,0,0,0,1.34,0,0,38.82
3Month,0.32,1.6,0.32,0,2.56,0,0.32,3.84,3.84,27.52,2.88,1.92,0.32,3.52,2.56,1.92,0.64,0,0,1.28,0,0,0.32,0,0,1.28,0,0.96,0,0.64,0.64,157.74
22Month,3.28,3.28,0,0,0,0,1.64,9.84,12.03,21.32,11.48,2.73,0.55,0,20.23,7.11,0,0.55,0.55,0.55,0,1.09,0.55,0,1.09,0,0.55,0,0,0,0,173.84
