stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0
72hpf,1.07,0,0,2.14,1.07,0,0,0,0,0,0,0,7.49,2.14,0,2.14,0,0,0,0,20.33,17.12,0,0,0,0,2.14,0,0,0,0
21Day,2.68,0,2.68,17.4,2.68,0,6.69,0,2.68,0,2.68,1.34,0,0,9.37,1.34,0,0,0,0,9.37,13.39,4.02,0,2.68,0,2.68,1.34,0,0,0
3Month,0,0.32,6.08,88.31,0,0.64,46.39,0.64,11.2,1.92,0.32,119.34,1.28,1.28,23.68,2.24,0.64,0,11.52,4.48,0.64,0,6.4,0,1.28,15.36,0,0,0.96,2.56,1.28
22Month,0,0.55,1.09,22.96,0,0.55,15.31,1.64,26.79,0,0,119.72,0.55,2.19,7.11,1.09,0,1.09,4.37,0,0,0,9.29,0.55,0,4.37,0,0,0,0,1.09
