stage,Epithelial_cell,Erythrocyte,Hepatocyte,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Neural_cell,Neural_progenitor_cell,Oocyte,Primordial_germ_cell,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0
72hpf,0,1.07,0,0,0,0,0,0,28.88,19.26,0,0,0,0,0,0
21Day,1.34,0,0,0,1.34,0,2.68,0,10.71,6.69,0,0,1.34,0,0,2.68
3Month,1.92,0,1.28,0.64,0.32,0.32,1.6,0.32,0.96,0.96,0,24,0,0.32,22.4,0.32
22Month,0.55,0,0.55,0.55,0,0,0.55,0,0,0,0.55,13.67,0,0,0,0
