stage,Erythrocyte,Erythroid_progenitor_cell,Immune_cell,Intestinal_bulb_cell,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Neural_cell,Neural_progenitor_cell
24hpf,0,0,0,0,0,0,0,12.26
72hpf,0,0,0,0,1.07,0,2.14,0
21Day,1.34,1.34,0,0,4.02,0,0,0
3Month,0,0,0.32,0.64,0,0.32,0,0
