stage,Epithelial_cell,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Retinal_cell,Retinal_cone_cell
24hpf,0,0,0,4.09,0,0,0
72hpf,1.07,1.07,19.26,0,1.07,1.07,1.07
21Day,0,0,8.03,1.34,0,0,0
