stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,4.09,0,4.09,0,0,0,0,0,0,0,0,0,4.09,0,0,0,4.09,40.86,0,0,0,0,0,0
72hpf,1.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.07,0,4.28,0,0,0,0,0,0,0
21Day,1.34,0,0,0,0,0,0,0,1.34,0,0,0,0,0,0,0,0,1.34,1.34,1.34,0,1.34,0,0,1.34
3Month,0,0.32,1.6,5.12,0.32,0,9.6,0.64,0,3.52,0.32,2.24,3.2,0.32,0.64,0,0.64,0.32,0,0,3.52,0,1.28,0.64,1.28
22Month,0,0.55,1.64,0,1.09,1.09,9.29,0,0,1.64,0,0.55,3.28,0.55,0,0,0.55,0,0,0,1.09,0,0,0,0
