stage,Cardiomyocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,12.26,0,0,0,0,0,0,0,0
72hpf,0,2.14,1.07,0,0,0,0,0,0,0,0,0,0,0,0,8.56,1.07,0,0,0,0,0,0,0,0
21Day,0,2.68,0,1.34,0,0,0,0,0,1.34,1.34,0,2.68,0,0,20.08,1.34,0,1.34,0,0,0,0,0,0
3Month,0.64,1.28,0,0,0.32,0.32,0.96,0.32,0,0.64,0.64,0.32,0.32,0.32,0.32,0.64,0.32,0.32,0,1.92,0.96,0.32,0.32,8.96,0.64
22Month,0,0,0,0,0,0,1.64,0,0.55,0,0,0,0,0,0,1.09,0,0,0,0,0,0,0,0,0
