stage,Endothelial_cell,Enterocyte,Epithelial_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Mesenchymal_cell__caudal_fin_,Neural_cell,Osteoblast,Primordial_germ_cell,T_cell
24hpf,0,0,4.09,0,0,0,0,0,12.26,0,0,0,0,0
72hpf,0,0,1.07,0,0,0,0,0,2.14,0,0,1.07,0,0
21Day,0,0,2.68,0,1.34,0,0,0,1.34,0,0,0,0,0
3Month,0.32,0,7.68,0.32,0,0.64,0.32,0,0.32,0.32,0,0,0.64,0.64
22Month,0,0.55,0.55,0.55,0,1.64,0,1.64,0,0.55,1.09,0,7.65,0
