stage,Endothelial_cell,Hepatocyte,Macrophage,Neural_cell,Oligodendrocyte,Radial_glia
72hpf,0,0,0,24.61,1.07,1.07
21Day,0,0,0,8.03,1.34,0
22Month,0.55,1.64,0.55,0,0.55,0
