stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0,237.01,0,0,0,0,0,0,4.09,40.86,0,0,0,0,0,0,0,0,0,0
72hpf,3.21,0,0,3.21,1.07,0,0,0,0,0,0,0,0,0,212.89,0,0,0,0,0,0,10.7,2.14,0,0,3.21,0,0,0,1.07,0,0,0
21Day,0,0,0,21.42,1.34,0,1.34,0,0,0,0,1.34,2.68,0,112.44,2.68,0,0,0,0,0,0,0,0,0,1.34,0,0,4.02,0,0,0,0
3Month,0,0.32,16.96,61.11,0,0,111.02,1.28,0,11.52,1.92,0.32,46.71,1.92,2.56,1.92,0.64,1.6,0,56.31,0.32,0,0.32,0.64,0,0,1.28,10.24,0,0,1.28,1.92,1.28
22Month,0.55,2.19,18.04,42.64,0,0.55,116.44,3.28,1.09,33.35,0.55,2.19,289.18,0,0,4.92,3.28,0.55,1.64,87.46,0,0.55,0,18.04,0.55,0,0,1.09,0,0,0.55,0,1.09
