stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,28.6,0,0,0,0,0,0,0,4.09,0,0,0,0,4.09,0,0,4.09,0,0,0,4.09,61.3,12.26,0,0,0,0,0,0,0,0,0,0,0
72hpf,2.14,12.84,0,25.67,2.14,0,0,1.07,0,0,0,0,0,0,0,0,3.21,9.63,0,6.42,0,0,0,0,23.54,8.56,0,1.07,2.14,0,0,1.07,0,0,0,0,0
21Day,2.68,1.34,0,58.9,1.34,2.68,0,12.05,0,4.02,1.34,0,1.34,0,12.05,0,5.35,1.34,1.34,9.37,0,0,4.02,0,10.71,10.71,0,1.34,2.68,0,0,0,5.35,1.34,0,0,1.34
3Month,0,4.48,0.96,93.43,1.6,0,0.96,1.28,1.92,29.44,40.63,0,10.56,2.24,3.2,9.28,2.88,13.76,2.56,9.28,0.64,0.64,23.36,2.24,4.48,0.32,2.24,0,1.28,2.24,2.24,0.32,0,0.32,4.16,2.88,2.56
22Month,0,15.31,0,50.29,1.09,0,0,0,0,8.75,39.91,0,21.32,1.09,6.01,9.29,3.28,3.28,1.64,4.37,0,0,13.67,0,2.73,0.55,1.64,1.09,1.09,0,0.55,3.28,1.64,0.55,0.55,0,0.55
