stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,4.09,0,0,0,0,0,0,0,4.09,0,0,0,0,0,4.09,0,12.26,0,0,0,0,4.09,57.21,0,0,0,0,0,0,0,0,0,0,0
72hpf,4.28,2.14,0,3.21,1.07,0,0,0,0,0,0,0,0,0,0,0,2.14,8.56,2.14,4.28,0,1.07,0,0,44.93,5.35,0,1.07,3.21,0,0,2.14,1.07,1.07,0,0,0
21Day,1.34,0,0,9.37,1.34,2.68,0,0,0,0,0,0,0,0,0,0,4.02,0,0,8.03,0,0,1.34,0,9.37,14.72,0,0,2.68,0,0,0,0,0,0,0,1.34
3Month,0.32,1.92,0.32,12.8,0.32,0,0.64,0.32,0.64,1.92,0,0,14.72,1.6,0.96,7.68,2.24,4.48,3.52,4.16,0.96,0,2.24,0.96,0.64,0,0.64,0.32,0,1.28,7.68,0,0,0,1.28,1.6,1.6
22Month,0,0,0,3.28,0.55,0,0,0,1.64,1.09,0.55,0,15.85,0,0,3.28,0.55,0,1.09,1.64,0,0.55,0,0,0,0,0.55,0,0.55,0,1.64,0,0,0,0,0,0.55
