stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Fibroblast,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,T_cell
24hpf,4.09,20.43,0,4.09,0,0,0,0,0,0,0,0,0,0,0,4.09,326.91,0,0,0,0,4.09,89.9,0,0,73.56,0,0,0,0,0,0,0,0
72hpf,18.19,1.07,0,3.21,0,3.21,0,0,0,0,0,0,0,4.28,2.14,1.07,222.52,0,8.56,0,0,27.81,12.84,0,0,181.86,1.07,0,0,2.14,0,1.07,0,0
21Day,20.08,0,0,9.37,1.34,5.35,0,0,0,0,5.35,0,0,0,4.02,2.68,216.84,0,0,8.03,0,10.71,6.69,0,0,125.82,9.37,0,0,0,1.34,5.35,1.34,0
3Month,0,0.96,0.64,3.52,0,0,0.96,0.32,0.64,1.28,119.34,0.96,2.24,0.64,0.96,0.32,20.16,3.52,0.64,0.96,0.32,0.32,0,0.32,0.32,0.64,1.6,0.32,0.32,0,0,0,0.96,0.64
22Month,0,0,0.55,0,0,0,0.55,0,0,2.19,154.16,0.55,2.19,0,0,0.55,21.32,0.55,19.13,0.55,0,0,0,0,0.55,1.09,0,0,0,0,0,0,0,0.55
