stage,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Granulocyte,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Primordial_germ_cell,Retinal_cell,Smooth_muscle_cell,T_cell
24hpf,4.09,4.09,0,0,0,0,0,0,0,0,0,8.17,0,0,69.47,0,4.09,0,0,0,0
72hpf,1.07,0,0,2.14,0,0,0,0,2.14,1.07,1.07,3.21,0,29.95,6.42,1.07,1.07,0,0,0,0
21Day,1.34,0,1.34,1.34,0,0,0,1.34,2.68,2.68,0,1.34,4.02,12.05,5.35,0,1.34,0,1.34,0,0
22Month,0.55,1.64,0,0,2.19,3.28,0.55,1.09,0,0,0.55,0.55,0,0,0,0,0,0.55,0,0.55,0.55
