stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Hepatocyte,Intestinal_bulb_cell,Keratinocyte,Macrophage,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Primordial_germ_cell,Retinal_cell,Retinal_cone_cell,Spermatocyte
24hpf,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,3.21,0,9.63,1.07,0,1.07,0,0,0,0
21Day,1.34,0,0,6.69,0,0,0,0,2.68,0,0,0,0,1.34,1.34,0
3Month,0,0.32,1.6,0,1.6,0.32,0,0,0,0,0.32,0,0.96,0,0,13.12
22Month,0,0,0,0,1.09,1.64,0,0.55,0,0,0,0,0,0,0,0
