stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,12.26,0,0,0,0,0,0,0,12.26,0,0,0,0,4.09,4.09,4.09,0,0,0,0,4.09,8.17,65.38,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,3.21,0,12.84,5.35,2.14,0,0,0,0,0,0,0,0,0,0,6.42,21.4,0,4.28,0,1.07,0,1.07,9.63,14.98,1.07,0,3.21,0,0,11.77,0,5.35,0,0,0
21Day,1.34,0,0,32.12,4.02,0,0,2.68,0,1.34,0,0,1.34,1.34,0,2.68,8.03,26.77,1.34,1.34,0,1.34,2.68,1.34,4.02,8.03,0,0,16.06,1.34,0,0,1.34,0,0,0,0
3Month,0,1.92,2.56,42.87,0.64,0,1.28,0.32,5.12,3.2,0,0,28.48,3.52,0.32,20.8,5.44,3.2,2.56,4.8,0.32,0.32,5.12,6.4,0.64,0,1.92,0,0.32,0.96,5.12,0.96,0,0,1.92,6.72,1.92
22Month,0,6.01,3.28,34.44,0.55,0,0,0,11.48,6.01,4.92,0,143.77,1.64,3.28,25.69,1.09,1.64,2.73,4.92,0,1.09,2.73,0,0.55,0,4.92,0.55,0,0,0.55,1.09,0,0,0,0,1.09
