stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Granulocyte,Granulosa_cell,Hepatocyte,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,T_cell
24hpf,576.18,4.09,32.69,0,0,0,0,0,8.17,4.09,8.17,24.52,0,0,8.17,98.07,0,0,0,0,0,0,0,0
72hpf,148.7,1.07,3.21,3.21,1.07,0,0,0,1.07,5.35,0,8.56,1.07,2.14,69.54,21.4,1.07,8.56,0,0,4.28,0,0,0
21Day,188.73,0,10.71,1.34,1.34,0,0,0,0,6.69,1.34,4.02,0,1.34,21.42,13.39,0,2.68,4.02,0,1.34,4.02,0,5.35
3Month,0.64,0,0.64,0.32,0,0.64,0.64,3.52,0,0.32,0.32,0.64,0,0,0,0.64,0,0,0.32,2.56,0,0,0.32,0.64
22Month,0,0,0.55,0.55,0,0.55,0.55,5.47,0,0.55,1.09,1.09,0,0,0,0,0,0,0,0.55,0,0.55,0,0
