stage,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,8.17,4.09,0,0,0,0,4.09,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,1.07,0,3.21,1.07,1.07,0,0,0,0,0,0,0,0,0,0,0,0
21Day,0,12.05,2.68,0,1.34,0,0,0,0,16.06,0,1.34,4.02,8.03,2.68,0,1.34,0,1.34,2.68,2.68,0,0,1.34,0,0,42.83
3Month,0.64,8.96,0,0.32,0.32,0.64,0.32,2.88,1.92,0.64,0.96,1.28,4.16,5.76,2.24,0.32,0.32,0.32,0,0,0,0.96,1.28,0,1.28,0.32,77.75
22Month,0,0,0,0,0,0,0,0.55,0,0,0,0,0,1.64,1.09,0,0,0,0,0,0,0,0,0,0,0,1.09
