stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,T_cell
24hpf,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,8.17,0,0,0,0,0,0,0,0
72hpf,14.98,4.28,13.91,1.07,20.33,2.14,0,0,0,1.07,0,0,6.42,38.51,4.28,12.84,1.07,2546.1,58.84,4.28,18.19,0,24.61,4.28,0,4.28,0
21Day,1.34,0,2.68,0,12.05,0,1.34,0,0,0,0,0,0,5.35,1.34,12.05,1.34,501.95,12.05,1.34,2.68,12.05,4.02,0,1.34,0,4.02
3Month,0,0,0.96,0,0,0,0,0,0,0.96,0,0,0,0,0.32,0,0.64,0,0,0,0,0,0,0,0,0,0
22Month,0,0,0.55,0,0,0,0,0.55,0.55,7.11,0.55,1.64,0,0,0.55,0.55,0,0,0,0.55,0,0,0,0,0,0,0
