stage,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,22.47,1.07,0,0,0,5.35,1.07,0,0,0,0,0
21Day,0,22.76,0,0,0,0,1.34,0,1.34,0,1.34,10.71,0,1.34,0,0,2.68,0,0,0,1.34,0,0
3Month,0.32,2.24,0.32,0.32,0.64,0,0.64,0.32,0.32,0.96,0.64,0,0.64,0,0,0,0,0,0.32,0,0,0,0.64
22Month,1.09,4.37,0.55,0,2.19,2.19,4.92,0,0.55,6.56,0,0,0.55,0.55,0.55,0.55,0,0,0,0.55,0,0.55,2.73
