stage,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Nephron_cell,Neurosecretory_cell,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
21Day,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.34,0,0
3Month,5.12,0.32,0.32,0.32,0.64,0.64,1.28,1.6,0.32,1.92,0.96,4.48,0.96,0.64,0.32,0.32,0.96,132.78,1.28,0.32
22Month,0,0,0,0,0,2.19,0,0.55,0,0,0,0.55,0,0,0,0,0.55,10.93,0,0
