stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Ionocyte,Keratinocyte,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Radial_glia,Retinal_pigment_epithelial_cell
24hpf,0,0,4.09,0,0,0,0,8.17,0,0,73.56,0,0,0,0,0
72hpf,1.07,0,3.21,2.14,0,0,0,1.07,0,75.96,16.05,0,0,0,2.14,1.07
21Day,2.68,1.34,4.02,0,1.34,1.34,1.34,10.71,2.68,40.16,6.69,1.34,2.68,5.35,0,0
3Month,0,0,0,0,0,0,0,0.32,0.32,0,0,0,0,0,0,0
