stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0,4.09,12.26,12.26,0,8.17,1389.38,20.43,0,0,0,0,0,0,4.09,0,0
72hpf,4.28,0,0,0,10.7,0,0,0,0,0,0,0,0,3.21,2.14,1.07,5.35,0,94.14,512.43,7.49,0,1.07,13.91,0,25.67,0,0,0,0
21Day,1.34,0,0,2.68,4.02,0,0,0,0,4.02,1.34,2.68,0,1.34,0,1.34,4.02,8.03,33.46,123.15,9.37,0,4.02,10.71,0,124.48,14.72,0,0,2.68
3Month,0,0,0.32,3.52,0,0.32,0.32,0,0,0.64,0,0,0.32,0,0,0,0.64,0,17.28,0.32,1.6,0,0,0,2.88,0,0,0,0.32,0
22Month,0,1.64,0,38.27,0,0,0,0.55,1.64,4.92,0,0,1.09,0,0.55,0,1.09,0,59.59,0,0.55,0.55,0,0,0.55,0,1.09,0,0,0
