stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,8.17,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,1.07,4.28,0,4.28,1.07,0,0,0,0,0,0,0,0,0,0,3.21,4.28,0,1.07,0,1.07,0,5.35,78.09,3.21,4.28,0,0,3.21,2.14,0,0,0
21Day,0,9.37,0,21.42,0,0,0,0,0,0,0,0,0,0,0,1.34,4.02,4.02,4.02,0,0,2.68,0,100.39,4.02,1.34,2.68,0,1.34,0,0,0,0
3Month,0,35.51,0,52.47,0,0.32,0,0.64,1.28,0.32,0,4.16,0.96,0.32,1.6,1.28,4.8,0.96,2.56,0.64,0,0.64,0.96,0.32,0,0,0.64,1.6,0,0.32,4.8,0.96,1.28
22Month,0,148.69,1.09,47.01,0,0,0.55,1.64,4.37,70.52,0,18.59,0.55,0,3.28,0,5.47,4.37,7.65,0.55,0.55,1.64,0,0,0.55,0,0,2.73,0.55,0,1.64,0,0.55
