stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,2.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21Day,0,0,74.96,5.35,0,0,0,0,0,0,0,0,2.68,149.92,1.34,1.34,0,0,8.03,2.68,0,0,2.68,1.34,0,0,0,0,0,0
3Month,0.64,0.32,114.22,0,0.64,0.64,0.96,0,13.12,2.56,0,6.72,0.32,36.15,4.16,2.56,1.92,0.96,0,0,0.64,0.64,0.32,1.28,1.6,0.32,0,1.28,0.64,3.52
22Month,1.09,0.55,25.15,0,0,1.64,5.47,0.55,65.05,2.19,1.64,19.13,0,14.21,4.92,4.37,0,0,0.55,0,0,1.64,0,1.09,1.09,0,0.55,0,0,2.73
