stage,Epithelial_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Ionocyte,Keratinocyte,Macrophage,Pancreatic_cell,Primordial_germ_cell,Radial_glia,T_cell
21Day,0,0,0,0,0,0,0,0,1.34,0,0,0,2.68
3Month,0.64,0,0.32,2.56,0,0.64,0.32,0.32,1.28,0.32,1.6,0,33.27
22Month,0,0.55,0,3.28,0.55,0,0,0,2.19,0,0,0.55,22.96
