stage,Cardiomyocyte,Epithelial_cell,Granulosa_cell,Hepatocyte,Keratinocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell
24hpf,0,0,0,0,0,4.09,0,12.26
72hpf,1.07,0,0,0,1.07,0,1.07,3.21
21Day,0,1.34,0,0,0,0,2.68,1.34
22Month,0,1.09,0.55,0.55,0,0,0,0
