stage,Epithelial_cell,Erythrocyte,Hatching_gland,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Primordial_germ_cell,Retinal_pigment_epithelial_cell,Spermatocyte
24hpf,0,0,4.09,0,0,0,0,0,0,0,0,28.6,0,0,0
72hpf,1.07,0,0,0,0,0,0,1.07,0,0,7.49,1.07,0,0,0
21Day,0,1.34,0,0,0,0,0,0,1.34,0,2.68,2.68,0,1.34,0
3Month,0.32,0,0,0.96,0.32,0.32,0.32,0.64,0,0.64,0,0,13.76,0,31.04
22Month,0,0,0,0,0,0.55,0,0,0,0,0,0,0.55,0,0
