stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,4.09,0,40.86,0,0,0,0,0,0,0,4.09,0,0,0,8.17,0,4.09,81.73,0,0,0,0,138.94,114.42,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,1.07,1.07,0,81.3,0,3.21,0,0,1.07,1.07,0,0,0,3.21,1.07,117.68,119.82,1.07,12.84,0,2.14,0,6.42,23.54,12.84,0,0,0,4.28,3.21,0,1.07,0,0,0,0,2.14
21Day,6.69,0,17.4,483.21,1.34,6.69,0,0,10.71,5.35,0,5.35,1.34,65.59,26.77,9.37,155.27,78.97,25.43,0,1.34,4.02,1.34,16.06,6.69,12.05,0,0,2.68,14.72,0,1.34,1.34,4.02,0,0,85.67
3Month,1.6,3.84,26.24,472.89,0.64,0,7.36,0.64,152.94,35.83,0,55.99,117.1,5.12,344.27,13.76,368.58,111.98,23.04,3.52,0.32,15.68,47.35,0.32,0.32,33.27,1.6,0,0.32,7.04,27.52,0.64,0.32,0,16.32,9.92,204.13
22Month,0.55,2.73,50.29,249.82,0.55,0,0.55,0,110.42,28.97,2.19,69.43,21.87,3.28,398.51,9.29,79.26,34.44,10.39,0.55,3.28,8.2,1.64,0.55,0,24.05,0.55,1.64,0,2.19,11.48,0.55,1.09,0,3.28,0,47.01
