stage,Cardiomyocyte,Epithelial_cell,Erythrocyte,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,Retinal_cell,Retinal_pigment_epithelial_cell
24hpf,0,4.09,0,0,0,0,0,0,4.09,16.35,0,0,0,0
72hpf,1.07,0,1.07,0,0,0,0,0,9.63,2.14,1.07,0,1.07,1.07
21Day,1.34,1.34,8.03,1.34,0,0,1.34,0,13.39,1.34,0,0,0,0
3Month,0,0,0,0.64,0.64,0.32,0,0.32,0,0,0,1.92,0,0
