stage,Cardiomyocyte,Epithelial_cell,Granulosa_cell,Hepatocyte,Keratinocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Primordial_germ_cell,T_cell
24hpf,0,0,0,0,8.17,4.09,4.09,24.52,0,0
72hpf,1.07,0,0,0,0,0,1.07,2.14,0,0
21Day,0,2.68,0,0,1.34,0,0,0,0,0
3Month,0,0,0,0,0,0.32,0,0,0.64,0
22Month,0,0.55,1.09,2.19,0,0,0,0,0,0.55
