stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,8.17,0,24.52,0,0,0,0,0,0,0,0,0,0,8.17,0,4.09,32.69,0,0,0,0,28.6,322.83,0,0,12.26,0,0,0,0,0,0,0,0
72hpf,2.14,0,3.21,1.07,0,0,0,0,0,0,0,1.07,0,0,2.14,0,5.35,0,1.07,0,0,49.21,22.47,0,0,5.35,0,0,10.7,0,0,0,0,0
21Day,2.68,1.34,2.68,0,2.68,0,0,0,0,0,0,1.34,0,0,4.02,0,6.69,0,0,0,0,10.71,9.37,0,0,4.02,0,0,1.34,0,1.34,0,0,0
3Month,0,0.96,7.68,0,0,0.32,0.64,0.64,0,16,1.28,0,3.84,1.92,4.16,1.6,6.72,0.96,0,1.6,0.32,0.32,0,0.64,0.32,0,0.32,2.88,0.64,0,0,2.24,0.64,3.84
22Month,0.55,3.83,3.28,0,0,0,1.09,5.47,1.64,39.91,0.55,0.55,6.01,1.64,0.55,6.56,4.92,0,2.19,0.55,0,0.55,0,1.09,1.09,0,0,1.09,1.09,0.55,0,0.55,0,1.64
