stage,Epithelial_cell,Ionocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte
24hpf,0,4.09,8.17,0,0,555.75,0
72hpf,1.07,0,0,1.07,19.26,17.12,2.14
21Day,0,0,0,0,0,1.34,1.34
