stage,Epithelial_cell,Hepatocyte,Intestinal_bulb_cell,Mesenchymal_cell,Osteoblast,Pancreatic_cell,Spermatocyte,T_cell
72hpf,0,0,0,1.07,0,0,0,0
21Day,0,0,1.34,0,4.02,0,0,0
3Month,0.96,1.28,0,0,0,0.32,4.48,0.32
