stage,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,T_cell
72hpf,0,0,1.07,52.42,1.07,0,0,0,0,0,0,4.28,0,1.07,0,1.07,0,2.14,0,2.14,0,0,0,0,0,0
21Day,0,0,0,48.19,0,0,0,0,0,0,0,6.69,0,0,0,4.02,2.68,0,0,1.34,1.34,0,0,0,0,0
3Month,0,0,4.16,12.48,0,0.32,2.56,0,0.32,0.96,0.96,1.28,0.96,1.28,0.64,1.28,0,6.4,0.32,0,0.64,0.96,0,0.32,1.28,0.32
22Month,1.64,0.55,2.73,6.56,0,1.09,3.28,0.55,0,0,0.55,1.09,0.55,0.55,0,0,0,10.39,0,0,0,1.64,0.55,0.55,0,0
