stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.35,16.35,0,0,0,0,0,16.35,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,1.07,0,0,3.21,0,0,0,0,0,1.07,2.14,2.14,1.07,0,0,0,0,9.63,3.21,0,0,4.28,0,0,0,0,0,0,0
21Day,0,0,1.34,0,0,0,5.35,0,0,0,4.02,1.34,1.34,1.34,2.68,6.69,0,0,0,0,0,0,0,0,8.03,0,9.37,1.34,0,0,0,0
3Month,0.64,0.64,4.8,0,0.32,0.64,83.51,0.32,10.24,1.92,0.64,4.8,0.64,2.88,13.12,2.56,0.32,0,0.32,0.64,0.32,0.32,0.64,0,0,2.56,230.68,0,0,1.6,23.04,2.24
22Month,2.73,0.55,4.37,0,0,0,77.08,2.19,56.31,2.19,5.47,2.73,0,0,37.17,4.92,0,1.09,1.64,0.55,0,0.55,0.55,34.99,0,0.55,118.08,1.09,0.55,0.55,1.09,0.55
