stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,8.17,4.09,0,0,4.09,0,0,0,0,8.17,0,0,0,0,0,0,8.17,12.26,0,0,0,0,12.26,224.75,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,2.14,3.21,0,2.14,1.07,3.21,0,0,0,0,0,0,0,0,0,8.56,0,16.05,0,1.07,0,1.07,116.61,29.95,1.07,3.21,26.74,0,0,6.42,0,0,2.14,0,0,0
21Day,1.34,1.34,0,18.74,5.35,5.35,0,1.34,0,0,0,0,5.35,1.34,0,4.02,4.02,58.9,0,0,4.02,0,50.86,16.06,1.34,1.34,4.02,2.68,1.34,14.72,1.34,1.34,0,0,0,1.34
3Month,0.32,0.32,0,16.64,0,0,0.96,6.4,0.32,0,42.23,2.56,1.28,4.16,0,7.68,5.12,11.52,1.6,0,1.28,0.64,3.84,0,0.64,1.28,0.32,1.6,5.76,0,0,0,0,1.28,6.72,4.48
22Month,0,0.55,0.55,7.11,0,0,0,2.73,6.01,0,118.08,3.28,1.64,4.92,0.55,1.64,6.56,7.65,0.55,3.28,1.64,0.55,2.19,0.55,1.64,1.09,0.55,0.55,2.19,2.19,0.55,0,0.55,0,0,4.37
